Academic Year ,LSS Number ,LSS Name ,School Number ,School Name ,Student Group ,Tested Count ,Proficient Count , Proficient Percent ,Create Date 
2020,02,Anne Arundel,2023,Northeast High,All,32,6,18.8,20230914
2020,02,Anne Arundel,2023,Northeast High,Students with Disabilities,*,*,*,20230914
2020,02,Anne Arundel,2033,George Fox Middle,All,*,*,<= 5.0,20230914
2020,02,Anne Arundel,2033,George Fox Middle,Students with Disabilities,*,*,*,20230914
2020,02,Anne Arundel,2043,Severna Park Middle,All,10,3,30.0,20230914
2020,02,Anne Arundel,2052,Arnold Elementary,All,14,6,42.9,20230914
2020,02,Anne Arundel,2062,Belvedere Elementary,All,15,4,26.7,20230914
2020,02,Anne Arundel,2062,Belvedere Elementary,Students with Disabilities,*,*,*,20230914
2020,02,Anne Arundel,2072,Benfield Elementary,All,*,*,*,20230914
2020,02,Anne Arundel,2072,Benfield Elementary,Students with Disabilities,*,*,*,20230914
2020,02,Anne Arundel,2082,Bodkin Elementary,All,*,*,*,20230914
2020,02,Anne Arundel,2092,Cape St. Claire Elementary,All,21,6,28.6,20230914
2020,02,Anne Arundel,2092,Cape St. Claire Elementary,Students with Disabilities,*,*,*,20230914
2020,02,Anne Arundel,2102,Folger Mckinsey Elementary,All,*,*,*,20230914
2020,02,Anne Arundel,2112,Fort Smallwood Elementary,All,*,*,*,20230914
2020,02,Anne Arundel,2132,High Point Elementary,All,45,11,24.4,20230914
2020,02,Anne Arundel,2132,High Point Elementary,Students with Disabilities,*,*,*,20230914
2020,02,Anne Arundel,2142,Jacobsville Elementary,All,19,9,47.4,20230914
2020,02,Anne Arundel,2142,Jacobsville Elementary,Students with Disabilities,*,*,*,20230914
2020,02,Anne Arundel,2152,Jones Elementary,All,10,2,20.0,20230914
2020,02,Anne Arundel,2152,Jones Elementary,Students with Disabilities,*,*,*,20230914
2020,02,Anne Arundel,2162,Lake Shore Elementary,All,*,*,*,20230914
2020,02,Anne Arundel,2162,Lake Shore Elementary,Students with Disabilities,*,*,*,20230914
2020,02,Anne Arundel,2172,Oak Hill Elementary,All,10,2,20.0,20230914
2020,02,Anne Arundel,2172,Oak Hill Elementary,Students with Disabilities,*,*,*,20230914
2020,02,Anne Arundel,2182,Pasadena Elementary,All,*,*,*,20230914
2020,02,Anne Arundel,2192,Riviera Beach Elementary,All,*,*,*,20230914
2020,02,Anne Arundel,2202,Severna Park Elementary,All,*,*,*,20230914
2020,02,Anne Arundel,2202,Severna Park Elementary,Students with Disabilities,*,*,*,20230914
2020,02,Anne Arundel,2212,Solley Elementary,All,41,8,19.5,20230914
2020,02,Anne Arundel,2212,Solley Elementary,Students with Disabilities,*,*,*,20230914
2020,02,Anne Arundel,2222,Sunset Elementary,All,*,*,*,20230914
2020,02,Anne Arundel,2233,Anne Arundel Evening High,All,*,*,<= 5.0,20230914
2020,02,Anne Arundel,2233,Anne Arundel Evening High,Students with Disabilities,*,*,*,20230914
2020,02,Anne Arundel,2243,Magothy River Middle,All,10,1,10.0,20230914
2020,02,Anne Arundel,2243,Magothy River Middle,Students with Disabilities,*,*,*,20230914
2020,02,Anne Arundel,2273,Chesapeake High,All,*,*,*,20230914
2020,02,Anne Arundel,2273,Chesapeake High,Students with Disabilities,*,*,*,20230914
2020,02,Anne Arundel,2322,Broadneck Elementary,All,27,9,33.3,20230914
2020,02,Anne Arundel,2322,Broadneck Elementary,Students with Disabilities,*,*,*,20230914
2020,02,Anne Arundel,2363,Broadneck High,All,*,*,<= 5.0,20230914
2020,02,Anne Arundel,2363,Broadneck High,Students with Disabilities,*,*,*,20230914
2020,02,Anne Arundel,2372,Windsor Farm Elementary,All,40,5,12.5,20230914
2020,02,Anne Arundel,2372,Windsor Farm Elementary,Students with Disabilities,*,*,*,20230914
2020,02,Anne Arundel,2413,Severn River Middle,All,21,6,28.6,20230914
2020,02,Anne Arundel,2413,Severn River Middle,Students with Disabilities,*,*,*,20230914
2020,02,Anne Arundel,2423,Chesapeake Bay Middle,All,*,*,<= 5.0,20230914
2020,02,Anne Arundel,2423,Chesapeake Bay Middle,Students with Disabilities,*,*,*,20230914
2020,02,Anne Arundel,2432,Shipley's Choice Elementary,All,*,*,*,20230914
2020,02,Anne Arundel,3013,Arundel High,All,43,5,11.6,20230914
2020,02,Anne Arundel,3013,Arundel High,Students with Disabilities,*,*,*,20230914
2020,02,Anne Arundel,3023,Arundel Middle,All,24,3,12.5,20230914
2020,02,Anne Arundel,3023,Arundel Middle,Students with Disabilities,*,*,*,20230914
2020,02,Anne Arundel,3033,MacArthur Middle,All,33,2,6.1,20230914
2020,02,Anne Arundel,3033,MacArthur Middle,Students with Disabilities,*,*,*,20230914
2020,02,Anne Arundel,3062,Brock Bridge Elementary,All,204,29,14.2,20230914
2020,02,Anne Arundel,3062,Brock Bridge Elementary,Students with Disabilities,18,1,5.6,20230914
2020,02,Anne Arundel,3072,Crofton Elementary,All,16,4,25.0,20230914
2020,02,Anne Arundel,3072,Crofton Elementary,Students with Disabilities,*,*,*,20230914
2020,02,Anne Arundel,3082,Crofton Woods Elementary,All,25,4,16.0,20230914
2020,02,Anne Arundel,3082,Crofton Woods Elementary,Students with Disabilities,*,*,*,20230914
2020,02,Anne Arundel,3092,Seven Oaks Elementary,All,28,5,17.9,20230914
2020,02,Anne Arundel,3092,Seven Oaks Elementary,Students with Disabilities,*,*,*,20230914
2020,02,Anne Arundel,3102,Hebron - Harman Elementary,All,107,7,6.5,20230914
2020,02,Anne Arundel,3102,Hebron - Harman Elementary,Students with Disabilities,*,*,<= 5.0,20230914
2020,02,Anne Arundel,3112,Jessup Elementary,All,88,12,13.6,20230914
2020,02,Anne Arundel,3112,Jessup Elementary,Students with Disabilities,*,*,*,20230914
2020,02,Anne Arundel,3122,Manor View Elementary,All,*,*,*,20230914
2020,02,Anne Arundel,3132,Maryland City Elementary,All,145,14,9.7,20230914
2020,02,Anne Arundel,3132,Maryland City Elementary,Students with Disabilities,12,1,8.3,20230914
2020,02,Anne Arundel,3142,Meade Heights Elementary,All,18,4,22.2,20230914
2020,02,Anne Arundel,3142,Meade Heights Elementary,Students with Disabilities,*,*,*,20230914
2020,02,Anne Arundel,3152,Van Bokkelen Elementary,All,85,10,11.8,20230914
2020,02,Anne Arundel,3152,Van Bokkelen Elementary,Students with Disabilities,*,*,*,20230914
2020,02,Anne Arundel,3162,Millersville Elementary,All,*,*,*,20230914
